longitude,latitude,septic_id_short,septic_capacity,septic_ventilation_1,septic_ventilation_2,steel_id,house_ids
36.319373,32.301982,D1-B6-T18,4,160,,,"D01-B05-H148,D01-B05-H150,D01-B05-H151,D01-B05-H152,D01-B05-H153,D01-B05-H154,D01-B06-H030,D01-B06-H031,D01-B06-H032"
36.31969,32.301901,D1-B6-T19,4,160,,,"D01-B06-H022,D01-B06-H025,D01-B06-H026,D01-B06-H027,D01-B06-H028,D01-B06-H029"
36.319583,32.301575,D1-B6-T20,4,160,,,"D01-B06-H021,D01-B06-H132,D01-B06-H133,D01-B06-H134,D01-B06-H135,D01-B06-H136,D01-B06-H137"
36.319869,32.30189,D1-B6-T21,4,160,,,"D01-B06-H016,D01-B06-H017,D01-B06-H018,D01-B06-H019,D01-B06-H023,D01-B06-H024"
36.320144,32.301513,D1-B6-T22,4,160,,,"D01-B06-H140,D01-B06-H141,D01-B07-H012,D01-B07-H013,D01-B07-H014,D01-B07-H015,D01-B07-H016"
36.320328,32.301486,D1-B6-T23,4,160,,,"D01-B06-H012,D01-B06-H142,D01-B06-H143,D01-B06-H144,D01-B07-H007,D01-B07-H009,D01-B07-H010,D01-B07-H011,D01-B07-H013"
36.320766,32.30171,D1-B6-T24,4,160,,,"D01-B05-H178,D01-B05-H180,D01-B05-H181,D01-B06-H006,D01-B06-H007"
36.320723,32.301458,D1-B6-T25,4,160,,,"D01-B06-H004,D01-B06-H144,D01-B06-H146,D01-B06-H147,D01-B06-H148,D01-B07-H001,D01-B07-H002,D01-B07-H003,D01-B07-H004,D01-B07-H005"
36.317367,32.301764,D1-B6-T26,4,160,,,"D01-B06-H069,D01-B06-H111,D01-B06-H112,D01-B07-H048,D01-B07-H049,D01-B07-H050"
36.318114,32.301732,D1-B6-T27,8,160,,,"D01-B06-H048,D01-B06-H049,D01-B06-H050,D01-B06-H117,D01-B06-H118,D01-B06-H119,D01-B06-H121,D01-B07-H039,D01-B07-H040"
36.317145,32.301722,D1-B7-T1,4,160,,,"D01-B07-H051,D01-B07-H052,D01-B07-H053,D01-B07-H054"
36.317264,32.30151,D1-B7-T2,4,160,,,"D01-B07-H051,D01-B07-H053,D01-B07-H054,D01-B07-H058,D01-B07-H059,D01-B07-H060,D01-B07-H061"
36.317771,32.301467,D1-B7-T3,2,160,,,"D01-B07-H063,D01-B07-H064,D01-B08-H035,D01-B08-H036"
36.318319,32.301602,D1-B7-T4,4,160,,,"D01-B07-H034,D01-B07-H035,D01-B07-H036,D01-B07-H037,D01-B07-H038,D01-B07-H039,D01-B07-H070,D01-B07-H071"
36.31913,32.301532,D1-B7-T5,4,160,,,"D01-B07-H025,D01-B07-H026,D01-B07-H027,D01-B07-H087,D01-B07-H088,D01-B07-H089"
36.319359,32.301513,D1-B7-T6,4,160,,,"D01-B06-H128,D01-B06-H129,D01-B06-H130,D01-B06-H132,D01-B07-H020,D01-B07-H022,D01-B07-H023,D01-B07-H024"
36.319949,32.301457,D1-B7-T7,4,160,,,"D01-B07-H017,D01-B07-H018,D01-B07-H019,D01-B07-H021,D01-B07-H022"
36.320458,32.301158,D1-B7-T8,4,160,,,"D01-B07-H096,D01-B07-H097,D01-B07-H098,D01-B08-H002,D01-B08-H003,D01-B08-H004,D01-B08-H005,D01-B08-H006,D01-B08-H007,D01-B08-H008,D01-B08-H009,D01-B08-H065,D01-B08-H066,D01-B08-H068"
36.320635,32.301227,D1-B7-T9,8,160,,,"D01-B07-H003,D01-B07-H004,D01-B07-H006,D01-B07-H008,D01-B07-H010,D01-B07-H097,D01-B07-H099,D01-B07-H101"
36.32073,32.301127,D1-B7-T10,4,160,,,"D01-B07-H102,D01-B07-H103,D01-B07-H104,D01-B07-H106,D01-B07-H107,D01-B08-H001,D01-B08-H071,D01-B08-H072"
36.318063,32.301413,D1-B7-T11,4,160,,,"D01-B07-H040,D01-B07-H041,D01-B07-H067,D01-B07-H069,D01-B07-H070"
36.318976,32.301544,D1-B7-T12,4,160,,,"D01-B07-H029,D01-B07-H030,D01-B07-H031,D01-B07-H032,D01-B07-H080,D01-B07-H081,D01-B07-H082,D01-B07-H083,D01-B07-H084,D01-B07-H085"
36.316646,32.301489,D1-B8-T1,4,160,,,"D01-B07-H055,D01-B08-H043,D01-B08-H044,D01-B08-H045,D01-B08-H046"
36.31723,32.301352,D1-B8-T2,4,160,,,"D01-B08-H036,D01-B08-H037,D01-B08-H038,D01-B08-H040"
36.317768,32.30127,D1-B8-T3,4,160,,,"D01-B08-H031,D01-B08-H033,D01-B08-H034,D01-B08-H035,D01-B09-H025,D01-B09-H026,D01-B09-H027,D01-B09-H028,D01-B09-H063,D01-B09-H066"
36.318095,32.301354,D1-B8-T4,4,160,,,"D01-B07-H066,D01-B08-H032,D01-B08-H033,D01-B08-H034"
